tconst     ,orignal tittle                                            ,startYear ,averageRating ,numVotes
tt6109124  ,Aadhi                                                     ,     2018 ,          6.4 ,2.2K
tt0907106  ,Aadi                                                      ,     2002 ,          7.3 ,1.8K
tt4511460  ,Aadu                                                      ,     2015 ,          7   ,1.8K
tt7355718  ,Aadu - Oru Bheegara Jeevi Aanu 2                          ,     2017 ,          7.1 ,2.4K
tt1821317  ,Aadukalam                                                 ,     2011 ,          8.1 ,7.5K
tt15554410 ,Aaja Mexico Challiye                                      ,     2022 ,          7   ,1.1K
tt0986213  ,Aaja Nachle                                               ,     2007 ,          6.2 ,3.7K
tt9322884  ,Aakashavaani                                              ,     2021 ,          6.9 ,3K
tt0090575  ,Aakhree Raasta                                            ,     1986 ,          7.1 ,1.7K
tt1708453  ,Aakrosh                                                   ,     2010 ,          7   ,4.3K
tt0080322  ,Aakrosh                                                   ,     1980 ,          7.9 ,1.2K
tt30447798 ,Aalan                                                     ,     2024 ,          6.3 ,1.1K
tt0294264  ,Aalavandhan                                               ,     2001 ,          7.2 ,3.2K
tt32494573 ,Aamhi Jarange                                             ,     2024 ,          6.9 ,1.1K
tt1241195  ,Aamir                                                     ,     2008 ,          7.6 ,12K
tt5998104  ,Aanandam                                                  ,     2016 ,          7.3 ,2.5K
tt28997111 ,Aanandhapuram Diaries                                     ,     2024 ,          7.1 ,2.5K
tt21652640 ,Aanchhi                                                   ,     2022 ,          7   ,1.2K
tt6076366  ,Aandavan Kattalai                                         ,     2016 ,          8   ,3.3K
tt0178186  ,Aandhi                                                    ,     1975 ,          7.9 ,1.7K
tt0106204  ,Aankhen                                                   ,     1993 ,          6.8 ,2.4K
tt0306434  ,Aankhen                                                   ,     2002 ,          7.4 ,14K
tt7867076  ,Aapla Manus                                               ,     2018 ,          6.9 ,1.2K
tt1339248  ,Aapthamitra                                               ,     2004 ,          8.2 ,1.3K
tt33348082 ,Aaragan                                                   ,     2024 ,          7.4 ,1.1K
tt1848771  ,Aarakshan                                                 ,     2011 ,          6.2 ,6.1K
tt0355169  ,Aaram Thamburan                                           ,     1997 ,          8.1 ,3.9K
tt1496729  ,Aaranya Kaandam                                           ,     2010 ,          8.4 ,5.7K
tt13342406 ,Aarkkariyam                                               ,     2021 ,          6.9 ,1.7K
tt0377321  ,Aasai                                                     ,     1995 ,          7.5 ,1.7K
tt1227524  ,Aashayein                                                 ,     2010 ,          7.1 ,1.4K
tt0149573  ,Aashiqui                                                  ,     1990 ,          6.3 ,2.1K
tt2203308  ,Aashiqui 2                                                ,     2013 ,          7.1 ,34K
tt27302079 ,Aattam                                                    ,     2023 ,          8.2 ,4.6K
tt26660021 ,Aavesham                                                  ,     2024 ,          7.8 ,27K
tt0375571  ,Aayitha Ezhuthu                                           ,     2004 ,          7.9 ,5.2K
tt0402014  ,Ab Tak Chhappan                                           ,     2004 ,          7.8 ,9.9K
tt27873991 ,Abhilasha                                                 ,     2023 ,          7.2 ,1.2K
tt0069671  ,Abhimaan                                                  ,     1973 ,          7.8 ,3.1K
tt1526875  ,Abhiyum Naanum                                            ,     2008 ,          7.6 ,1.7K
tt7345930  ,Abhrahaminte Santhathikal                                 ,     2018 ,          6.7 ,5.8K
tt27816710 ,Abraham Ozler                                             ,     2024 ,          6.5 ,4.1K
tt1945039  ,"Abu, Son of Adam"                                        ,     2011 ,          7.8 ,1.3K
tt2401585  ,Achcham Yenbadhu Madamaiyada                              ,     2016 ,          6.3 ,2.6K
tt21296906 ,Achena Uttam                                              ,     2022 ,          8.2 ,3.2K
tt5320514  ,Action Hero Biju                                          ,     2016 ,          7.6 ,4.6K
tt6581440  ,Adam Joan                                                 ,     2017 ,          6.4 ,1.9K
tt8364418  ,Adanga Maru                                               ,     2018 ,          7.1 ,3K
tt16142262 ,Adavi Donga                                               ,     2023 ,          6.1 ,1K
tt14994064 ,Adbhutham                                                 ,     2021 ,          7.4 ,1.8K
tt33075455 ,Adharma Kadhaigal                                         ,     2024 ,          6.8 ,1.1K
tt6348454  ,Adhe Kangal                                               ,     2017 ,          7.2 ,1.2K
tt1582466  ,Adhurs                                                    ,     2010 ,          6.8 ,3.4K
tt5271432  ,Adi Kapyare Kootamani                                     ,     2015 ,          6.6 ,1.9K
tt31592004 ,Adiparvam                                                 ,     2024 ,          7.5 ,1.1K
tt8303612  ,Adithya Varma                                             ,     2019 ,          6.1 ,1.3K
tt0252196  ,Aditya 369                                                ,     1991 ,          8.4 ,3.5K
tt27618123 ,Adiyae                                                    ,     2023 ,          6.3 ,1.3K
tt28622760 ,Ado Deyyam Katha                                          ,     2023 ,          6.7 ,1K
tt28232127 ,Aflatoon                                                  ,     2024 ,          7.8 ,1K
tt10214826 ,Agent Sai Srinivasa Athreya                               ,     2019 ,          8.3 ,18K
tt27442069 ,Aggrasena                                                 ,     2023 ,          8   ,1.1K
tt1849718  ,Agneepath                                                 ,     2012 ,          6.9 ,28K
tt0098999  ,Agneepath                                                 ,     1990 ,          7.6 ,9.7K
tt27930683 ,Agni                                                      ,     2024 ,          7.3 ,15K
tt0094621  ,Agni Natchathiram                                         ,     1988 ,          7.7 ,1.5K
tt31897337 ,Agrico's                                                  ,     2024 ,          8.4 ,1K
tt0249336  ,Aha Naa Pellanta                                          ,     1987 ,          8.9 ,3.4K
tt16103372 ,Aham Reboot                                               ,     2024 ,          6.2 ,1.2K
tt0831840  ,Ahista Ahista                                             ,     2006 ,          6.9 ,1.7K
