IMDb ID,Primary Title,Original Title,Year,IMDb Rating,IMDb Votes,Letterboxd Avg Rating,Letterboxd Rating Count,Letterboxd URL
tt2321163,,,2013,6.3,7.7K,2.93,3708,https://letterboxd.com/tmdb/157293/
tt14022026,,,2022,7,1.4K,0,0,https://letterboxd.com/tmdb/892529/
tt11651796,,,2020,6.9,16K,3.34,6859,https://letterboxd.com/tmdb/735919/
tt28283958,,,2023,7.8,1K,3.61,1560,https://letterboxd.com/tmdb/1147765/
tt1601792,,,2004,8.6,4.2K,3.67,477,https://letterboxd.com/tmdb/23971/
tt4511460,,,2015,7,1.8K,3.4,1576,https://letterboxd.com/tmdb/326282/
tt8944398,,,2019,6.1,1.6K,2.99,1001,https://letterboxd.com/tmdb/553869/
tt0907106,,,2002,7.3,1.8K,3.24,558,https://letterboxd.com/tmdb/80395/
tt8043456,,,2018,7.8,1.1K,3.42,362,https://letterboxd.com/tmdb/536475/
tt6109124,,,2018,6.4,2.2K,2.95,949,https://letterboxd.com/tmdb/464670/
tt7355718,,,2017,7.1,2.4K,3.3,1456,https://letterboxd.com/tmdb/494480/
tt15554410,,,2022,7,1.1K,0,0,https://letterboxd.com/tmdb/940270/
tt1821317,,,2011,8.1,7.5K,3.96,5343,https://letterboxd.com/tmdb/68016/
tt0986213,,,2007,6.2,3.7K,3.29,2582,https://letterboxd.com/tmdb/14159/
tt0907618,,,2007,7.6,1.5K,3.56,1225,https://letterboxd.com/tmdb/80826/
tt9322884,,,2021,6.9,3K,0,0,https://letterboxd.com/tmdb/874852/
tt0080322,,,1980,7.9,1.2K,3.7,865,https://letterboxd.com/tmdb/190213/
tt1708453,,,2010,7,4.3K,3.27,512,https://letterboxd.com/tmdb/54081/
tt0090575,,,1986,7.1,1.7K,3.38,210,https://letterboxd.com/tmdb/267504/
tt0294264,,,2001,7.2,3.2K,3.6,3640,https://letterboxd.com/tmdb/66346/
tt30447798,,,2024,6.3,1.1K,0,0,https://letterboxd.com/tmdb/1265979/
tt21652640,,,2022,7,1.2K,0,0,https://letterboxd.com/tmdb/1250959/
tt5998104,,,2016,7.3,2.5K,3.36,3003,https://letterboxd.com/tmdb/422603/
tt1241195,,,2008,7.6,12K,3.46,1075,https://letterboxd.com/tmdb/13123/
tt0106204,,,1993,6.8,2.4K,3.24,364,https://letterboxd.com/tmdb/96147/
tt0178186,,,1975,7.9,1.7K,3.57,336,https://letterboxd.com/tmdb/59277/
tt0306434,,,2002,7.4,14K,3.28,1931,https://letterboxd.com/tmdb/21982/
tt7867076,,,2018,6.9,1.2K,3.18,284,https://letterboxd.com/tmdb/499588/
tt33348082,,,2024,7.4,1.1K,0,0,https://letterboxd.com/tmdb/1356638/
tt1339248,,,2004,8.2,1.3K,3.48,218,https://letterboxd.com/tmdb/282554/
tt6076366,,,2016,8,3.3K,3.7,2899,https://letterboxd.com/tmdb/410432/
tt1848771,,,2011,6.2,6.1K,3.11,1172,https://letterboxd.com/tmdb/72152/
tt0355169,,,1997,8.1,3.9K,3.54,1301,https://letterboxd.com/tmdb/198254/
tt1496729,,,2010,8.4,5.7K,3.98,4782,https://letterboxd.com/tmdb/119123/
tt13342406,,,2021,6.9,1.7K,3.47,2075,https://letterboxd.com/tmdb/811554/
tt0149573,,,1990,6.3,2.1K,3.13,464,https://letterboxd.com/tmdb/34369/
tt1227524,,,2010,7.1,1.4K,0,0,https://letterboxd.com/tmdb/44070/
tt0377321,,,1995,7.5,1.7K,3.36,526,https://letterboxd.com/tmdb/69422/
tt2203308,,,2013,7.1,34K,3.37,10180,https://letterboxd.com/tmdb/192558/
tt0375571,,,2004,7.9,5.2K,3.7,3781,https://letterboxd.com/tmdb/63825/
tt0402014,,,2004,7.8,9.9K,3.54,808,https://letterboxd.com/tmdb/16566/
tt27302079,,,2023,8.2,4.6K,4.07,12246,https://letterboxd.com/tmdb/957926/
tt0069671,,,1973,7.8,3.1K,3.53,835,https://letterboxd.com/tmdb/75352/
tt26660021,,,2024,7.8,27K,3.81,38850,https://letterboxd.com/tmdb/1084812/
tt1526875,,,2008,7.6,1.7K,3.63,1768,https://letterboxd.com/tmdb/40617/
tt1945039,,,2011,7.8,1.3K,3.55,407,https://letterboxd.com/tmdb/132189/
tt27816710,,,2024,6.5,4.1K,2.72,7317,https://letterboxd.com/tmdb/1184247/
tt2401585,,,2016,6.3,2.6K,2.97,1932,https://letterboxd.com/tmdb/330417/
tt21296906,,,2022,8.2,3.2K,0,0,https://letterboxd.com/tmdb/809195/
tt5320514,,,2016,7.6,4.6K,3.47,3009,https://letterboxd.com/tmdb/381374/
tt7345930,,,2018,6.7,5.8K,2.98,1125,https://letterboxd.com/tmdb/530588/
tt6581440,,,2017,6.4,1.9K,3.11,1025,https://letterboxd.com/tmdb/467373/
tt33075455,,,2024,6.8,1.1K,0,0,https://letterboxd.com/tmdb/1335741/
